X(I=31),Y(J=21),PSI
36,12,92.10047903035067
38,12,93.1835179822351
40,12,94.09733488832613
42,12,94.8649222275144
44,12,95.5054997296549
46,12,96.03504613549792
48,12,96.46673219119039
50,12,96.81127112623997
52,12,97.07719950063476
54,12,97.27109836303133
56,12,97.39776222633945
58,12,97.46032137598863
60,12,97.46032137598863
0,14,0.0
2,14,8.092232881740879
4,14,16.201350961447872
6,14,24.30892441789493
8,14,32.33375150513813
10,14,40.12640145723581
12,14,47.502205581138234
14,14,54.30473538353751
16,14,60.44148421530784
18,14,65.88447007216523
20,14,70.6533593955539
22,14,74.79614515620467
24,14,78.3740030701961
26,14,81.45144911007657
28,14,84.09074700163445
30,14,86.3491444211588
32,14,88.27779477559008
34,14,89.9216015279726
36,14,91.31952429527657
38,14,92.50508605017059
40,14,93.50694134557763
42,14,94.34943413856237
44,14,95.05311138759006
46,14,95.63517853041036
48,14,96.10989314053423
50,14,96.4888979812232
52,14,96.78149678503443
54,14,96.99487671375637
56,14,97.13428131018199
58,14,97.20313721800103
60,14,97.20313721800103
0,16,0.0
2,16,8.004428131473755
4,16,15.986093880009166
6,16,23.90135885501487
8,16,31.67168433654091
10,16,39.1838911817662
12,16,46.30914501527702
14,16,52.93347275200478
16,16,58.97937984652872
18,16,64.41153332214066
20,16,69.23102612504947
22,16,73.46507041782662
24,16,77.15676596795375
26,16,80.35696711719895
28,16,83.118614650229
30,16,85.49316635632118
32,16,87.5285715098593
34,16,89.26828425023474
36,16,90.75093054014452
38,16,92.01036054413363
40,16,93.07591027089366
42,16,93.97276155840537
44,16,94.722333115861
46,16,95.34266342153323
48,16,95.84876382230782
50,16,96.25293083565532
52,16,96.56501290676572
54,16,96.79263035878581
56,16,96.94134904449884
58,16,97.01480892965263
60,16,97.01480892965263
0,18,0.0
2,18,7.939385760622651
4,18,15.837237566263576
6,18,23.638732777508668
8,18,31.267735793919247
10,18,38.62833390552101
12,18,45.617010531602865
14,18,52.14063074603707
16,18,58.13102907804715
18,18,63.55125722430007
20,18,68.39414134232752
22,18,72.67634439799734
24,18,76.431023240821
26,18,79.7010387131771
28,18,82.5335780969017
30,18,84.97633481376653
32,18,87.07504062569993
34,18,88.87203339014424
36,18,90.40555303698267
38,18,91.70951528033935
40,18,92.81357759953309
42,18,93.74336867153934
44,18,94.52079605840918
46,18,95.1643781794059
48,18,95.68956785281873
50,18,96.10904859319233
52,18,96.43299360811211
54,18,96.66928273040295
56,18,96.82367553950937
58,18,96.89994048654347
60,18,96.89994048654347
0,20,0.0
2,20,7.9158773411511225
4,20,15.784737840955168
6,20,23.548598886567724
8,20,31.132192145577335
10,20,38.44469810206238
12,20,45.38993244469874
14,20,51.88101060553594
16,20,57.852848476353756
18,20,63.268325133776834
20,20,68.1179375991918
22,20,72.41514256645907
24,20,76.18994385789948
26,20,79.4825863699147
28,20,82.33832418103475
30,20,84.80355414530713
32,20,86.92322275684974
34,20,88.7392556142307
36,20,90.28973290272128
38,20,91.60856990507243
40,20,92.72551613876925
42,20,93.6663394323641
44,20,94.45310422863069
46,20,95.10448534600991
48,20,95.63608077696497
50,20,96.06070203632947
52,20,96.3886301618851
54,20,96.6278313747541
56,20,96.78412985599361
58,20,96.86133694982054
60,20,96.86133694982054
0,22,0.0
2,22,7.939385759434039
4,22,15.837237563905171
6,22,23.638732774001824
8,22,31.267735789287777
10,22,38.62833389979109
12,22,45.61701052480293
14,22,52.14063073819774
16,22,58.131029069201126
18,22,63.551257214481986
20,22,68.39414133157386
22,22,72.67634438634639
24,22,76.43102322831261
26,22,79.70103869985265
28,22,82.53357808280397
30,22,84.97633479893955
32,22,87.07504061018894
34,22,88.87203337399538
36,22,90.40555302024308
38,22,91.70951526305694
40,22,92.8135775817564
42,22,93.74336865331745
44,22,94.52079603979155
46,22,95.16437816044228
48,22,95.68956783355902
50,22,96.10904857368651
52,22,96.43299358841003
54,22,96.66928271055424
56,22,96.82367551956338
58,22,96.89994046654913
60,22,96.89994046654913
0,24,0.0
2,24,8.004428129184648
4,24,15.98609387546719
6,24,23.901358848261157
8,24,31.67168432762131
10,24,39.18389117073113
12,24,46.30914500218126
14,24,52.93347273690729
16,24,58.97937982949244
18,24,64.4115333032323
20,24,69.23102610433936
22,24,73.46507039538842
24,24,77.15676594386424
26,24,80.35696709153784
28,24,83.11861462307866
30,24,85.49316632776643
32,24,87.52857147998715
34,24,89.2682842191342
36,24,90.7509305079063
38,24,92.01036051085002
40,24,93.07591023665813
42,24,93.97276152331241
44,24,94.72233308000594
46,24,95.34266338501182
48,24,95.84876378521622
50,24,96.25293079808968
52,24,96.56501286882208
54,24,96.79263032055982
56,24,96.94134900608549
58,24,97.01480889114615
60,24,97.01480889114615
0,26,0.0
2,26,8.092232878523898
4,26,16.20135095506484
6,26,24.30892440840364
8,26,32.33375149260304
10,26,40.12640144172775
12,26,47.5022055627342
14,26,54.304735362320365
16,26,60.44148419136603
18,26,65.88447004559252
20,26,70.65335936644912
22,26,74.79614512467131
24,26,78.3740030363421
26,26,81.45144907401391
