X(I=31),Y(J=21),PSI
36,12,92.10047993172289
38,12,93.18351891969475
40,12,94.09733585921418
42,12,94.86492322897226
44,12,95.50550075873112
46,12,96.03504718906703
48,12,96.46673326604535
50,12,96.81127221902915
52,12,97.0772006079362
54,12,97.27109948131113
56,12,97.3977633520051
58,12,97.4603225053705
60,12,97.4603225053705
0,14,0.0
2,14,8.09223294001927
4,14,16.201351078886717
6,14,24.308924595165813
8,14,32.333751742671815
10,14,40.12640175525926
12,14,47.50220593962029
14,14,54.30473580225208
16,14,60.44148469375792
18,14,65.88447060966936
20,14,70.65335999115204
22,14,74.79614580876398
24,14,78.37400377830294
26,14,81.4514498721569
28,14,84.09074781583693
30,14,86.34914528548454
32,14,88.27779568777223
34,14,89.92160248560978
36,14,91.31952529571443
38,14,92.50508709063322
40,14,93.50694242305688
42,14,94.34943524994124
44,14,95.05311252954509
46,14,95.63517969952187
48,14,96.10989433320655
50,14,96.48889919377709
52,14,96.78149801364887
54,14,96.99487795453948
56,14,97.13428255913766
58,14,97.20313847107528
60,14,97.20313847107528
0,16,0.0
2,16,8.004428194260075
4,16,15.986094006521315
6,16,23.901359045944897
8,16,31.67168459235824
10,16,39.18389150267227
12,16,46.30914540125909
14,16,52.93347320276603
16,16,58.97938036156869
18,16,64.41153390066393
20,16,69.23102676606895
22,16,73.46507112005503
24,16,77.15676672992517
26,16,80.35696793714803
28,16,83.1186155262254
30,16,85.49316728614205
32,16,87.52857249113075
34,16,89.26828528030356
36,16,90.75093161622044
38,16,92.0103616631663
40,16,93.07591142970946
42,16,93.97276275359565
44,16,94.72233434390752
46,16,95.34266467871285
48,16,95.84876510480137
50,16,96.25293213947361
52,16,96.56501422783715
54,16,96.79263169290718
56,16,96.94135038739836
58,16,97.0148102769684
60,16,97.0148102769684
0,18,0.0
2,18,7.939385826429554
4,18,15.837237698836088
6,18,23.638732977569592
8,18,31.267736061921944
10,18,38.62833424169056
12,18,45.617010935875875
14,18,52.1406312181319
16,18,58.13102961737974
18,18,63.55125783007989
20,18,68.39414201345332
22,18,72.67634513317465
24,18,76.43102403844232
26,18,79.70103957145568
28,18,82.53357901374196
30,18,84.97633578690805
32,18,87.07504165258406
34,18,88.87203446806215
36,18,90.40555416294428
38,18,91.709516451219
40,18,92.81357881194697
42,18,93.74336992198252
44,18,94.52079734314741
46,18,95.16437949459804
48,18,95.68956919442834
50,18,96.1090499570903
52,18,96.4329949900123
54,18,96.66928412594086
56,18,96.82367694420523
58,18,96.89994189585386
60,18,96.89994189585386
0,20,0.0
2,20,7.9158774083801635
4,20,15.784737976381933
6,20,23.548599090898097
8,20,31.132192419280653
10,20,38.44469844532374
12,20,45.38993285747576
14,20,51.881011087485305
16,20,57.85284902691597
18,20,63.26832575208019
20,20,68.11793828416121
22,20,72.41514331670201
24,20,76.18994467183398
26,20,79.48258724564234
28,20,82.33832511648227
30,20,84.80355513809239
32,20,86.92322380443062
34,20,88.73925671377033
36,20,90.28973405123779
38,20,91.60857109930969
40,20,92.7255173753408
42,20,93.66634070763584
44,20,94.45310553885288
46,20,95.10448668721716
48,20,95.6360821450907
50,20,96.06070342712826
52,20,96.38863157102494
54,20,96.62783279776494
56,20,96.78413128833353
58,20,96.86133838685326
60,20,96.86133838685326
0,22,0.0
2,22,7.939385826429555
4,22,15.837237698836082
6,22,23.638732977569592
8,22,31.267736061921944
10,22,38.62833424169056
12,22,45.61701093587589
14,22,52.1406312181319
16,22,58.131029617379745
18,22,63.5512578300799
20,22,68.39414201345332
22,22,72.67634513317465
24,22,76.43102403844232
26,22,79.70103957145568
28,22,82.53357901374194
30,22,84.97633578690805
32,22,87.07504165258406
34,22,88.87203446806215
36,22,90.40555416294428
38,22,91.70951645121902
40,22,92.813578811947
42,22,93.74336992198252
44,22,94.52079734314741
46,22,95.16437949459804
48,22,95.68956919442833
50,22,96.1090499570903
52,22,96.43299499001229
54,22,96.66928412594086
56,22,96.82367694420522
58,22,96.89994189585386
60,22,96.89994189585386
0,24,0.0
2,24,8.004428194260075
4,24,15.986094006521316
6,24,23.901359045944886
8,24,31.671684592358243
10,24,39.18389150267227
12,24,46.30914540125907
14,24,52.933473202766045
16,24,58.97938036156869
18,24,64.41153390066393
20,24,69.23102676606895
22,24,73.46507112005503
24,24,77.1567667299252
26,24,80.35696793714803
28,24,83.11861552622543
30,24,85.49316728614205
32,24,87.52857249113075
34,24,89.26828528030356
36,24,90.75093161622044
38,24,92.01036166316631
40,24,93.0759114297095
42,24,93.97276275359567
44,24,94.72233434390749
46,24,95.34266467871285
48,24,95.84876510480139
50,24,96.25293213947361
52,24,96.56501422783715
54,24,96.79263169290716
56,24,96.94135038739837
58,24,97.01481027696839
60,24,97.01481027696839
0,26,0.0
2,26,8.09223294001927
4,26,16.201351078886717
6,26,24.308924595165813
8,26,32.33375174267181
10,26,40.12640175525926
12,26,47.50220593962029
14,26,54.30473580225208
16,26,60.441484693757936
18,26,65.88447060966938
20,26,70.65335999115204
22,26,74.79614580876401
24,26,78.37400377830292
26,26,81.45144987215691
28,26,84.09074781583695
30,26,86.34914528548457
32,26,88.27779568777225
34,26,89.9216024856098
36,26,91.31952529571443
38,26,92.50508709063325
40,26,93.5069424230569
42,26,94.34943524994125
44,26,95.05311252954509
46,26,95.63517969952188
48,26,96.10989433320655
50,26,96.48889919377709
52,26,96.78149801364886
54,26,96.9948779545395
56,26,97.13428255913766
58,26,97.2031384710753
60,26,97.2031384710753
0,28,0.0
2,28,8.163152483103623
4,28,16.418152766224882
6,28,24.79923650172343
8,28,33.227996012758595
10,28,41.4857578171568
12,28,49.2685407772064
14,28,56.34177934668422
16,28,62.59735197193192
18,28,68.03150381995776
20,28,72.70179674372493
22,28,76.69214830581159
24,28,80.09165265962373
26,28,82.984079911469
28,28,85.44378053086025
30,28,87.53487030070183
32,28,89.31186243491332
34,28,90.82080362213478
36,28,92.10047993172292
38,28,93.18351891969476
40,28,94.0973358592142
42,28,94.86492322897227
44,28,95.50550075873115
46,28,96.03504718906704
48,28,96.4667332660454
50,28,96.81127221902915
52,28,97.07720060793623
54,28,97.27109948131113
56,28,97.39776335200513
58,28,97.46032250537053
60,28,97.46032250537053
0,30,0.0
2,30,8.14222422270806
4,30,16.50887099424656
6,30,25.241872622396613
8,30,34.29323797568302
10,30,43.320092706286225
12,30,51.74441998486203
14,30,59.1964888116538
16,30,65.57464000035608
18,30,70.94239592450343
20,30,75.43017482484416
22,30,79.17899797516192
24,30,82.31637860399206
26,30,84.94943654169877
28,30,87.16542405117163
30,30,89.03469290491697
32,30,90.61398007994389
34,30,91.94926958509153
36,30,93.07807183596657
38,30,94.0311727420159
40,30,94.83395880807794
42,30,95.50742098944212
44,30,96.06892002725948
46,30,96.53277497070376
48,30,96.91071926045443
50,30,97.21225574507919
52,30,97.4449326536961
54,30,97.61455594618843
56,30,97.72534879723267
58,30,97.78006562789031
60,30,97.78006562789031
0,32,0.0
2,32,7.896873410445197
4,32,16.233234359612936
6,32,25.366145008857433
8,32,35.382990549271284
10,32,45.75695503243128
12,32,55.19255762644217
14,32,63.125115893936375
16,32,69.5623232698369
18,32,74.73326502655102
20,32,78.89750862711433
22,32,82.27729013446641
24,32,85.0454272055637
26,32,87.33186356375907
28,32,89.23378618862505
30,32,90.82449714699155
32,32,92.16009535203841
34,32,93.28422275747096
36,32,94.23136503847408
38,32,95.02914135599337
40,32,95.69990559185713
42,32,96.26188184219588
44,32,96.7299833377207
46,32,97.11641335242128
48,32,97.43111300548426
50,32,97.68209879178292
52,32,97.87571825962719
54,32,98.01684279604628
56,32,98.10901020607848
58,32,98.15452552412711
60,32,98.15452552412711
0,34,0.0
2,34,7.2120350569443
4,34,15.161048019860928
6,34,24.60648249663079
8,34,36.11562417008757
10,34,49.132179235289456
12,34,60.14373957964316
14,34,68.54909385059895
16,34,74.81627213890795
18,34,79.53083226295216
20,34,83.14930449852233
22,34,85.98722670389078
24,34,88.2561764917606
26,34,90.09880428897095
28,34,91.61335996041986
30,34,92.86941410850557
32,34,93.91768138807355
34,34,94.79616101707967
36,34,95.53402416568186
38,34,96.15412201152641
40,34,96.67464031970857
42,34,97.11021740721687
44,34,97.47271808535496
46,34,97.77178205126407
48,34,98.01522057192439
50,34,98.20930811096648
52,34,98.3589987504413
54,34,98.46808672537436
56,34,98.5393236597054
58,34,98.57450069108499
60,34,98.57450069108499
0,36,0.0
2,36,5.790218795521278
4,36,12.59244016237538
6,36,21.783112781890026
8,36,35.340844391441905
10,36,54.51239814935761
12,36,67.70112759477563
14,36,76.1112477765689
16,36,81.62283915715702
18,36,85.42448737093864
20,36,88.18165038159506
22,36,90.266135670568
24,36,91.89324774683901
26,36,93.19381711657188
28,36,94.25143523080453
30,36,95.12211791230426
32,36,95.84505504718135
34,36,96.44871572829686
36,36,96.9544485657527
38,36,97.37868217369144
40,36,97.73431623627164
42,36,98.03162934869522
44,36,98.27888951154948
46,36,98.48277616093415
48,36,98.64867908498834
50,36,98.78091429417766
52,36,98.88288186987293
54,36,98.95718165905014
56,36,99.00569697983622
58,36,99.02965285286433
60,36,99.02965285286433
0,38,0.0
2,38,3.356399961442968
4,38,7.635381049578738
6,38,14.592684073159543
8,38,28.95224245916149
10,38,65.87544136938546
12,38,80.03712486570163
14,38,86.5719304946943
16,38,90.13934933191018
18,38,92.36262767059087
20,38,93.88667397369514
22,38,95.00241783620723
24,38,95.85686169358951
26,38,96.53178118380765
28,38,97.07644591701555
30,38,97.52256724491377
32,38,97.89170514129592
34,38,98.19919826361647
36,38,98.45637217495084
38,38,98.67184186013323
40,38,98.8523130811983
42,38,99.00309421737482
44,38,99.12843442826474
46,38,99.23175397253323
48,38,99.31580528907313
50,38,99.38278808671272
52,38,99.43443275135394
54,38,99.47206103645144
56,38,99.49662972290922
58,38,99.50876086279021
60,38,99.50876086279021
0,40,0.0
2,40,0.0
4,40,0.0
6,40,0.0
8,40,0.0
10,40,100.0
12,40,100.0
14,40,100.0
16,40,100.0
18,40,100.0
20,40,100.0
22,40,100.0
24,40,100.0
26,40,100.0
28,40,100.0
30,40,100.0
32,40,100.0
34,40,100.0
36,40,100.0
38,40,100.0
40,40,100.0
42,40,100.0
44,40,100.0
46,40,100.0
48,40,100.0
50,40,100.0
52,40,100.0
54,40,100.0
56,40,100.0
58,40,100.0
60,40,100.0
