Iteration,Error_psi,Error_omega
83,1.96604810379707e-05,0.045812218864098544
84,1.9595934604064995e-05,0.04510816470712117
85,1.9532326285128448e-05,0.04442302364641865
86,1.9469631402949577e-05,0.04375607452307661
87,1.9407826211645485e-05,0.043106631619140585
88,1.9346887851956286e-05,0.0424740425342741
89,1.9286794308285237e-05,0.04185768621203006
90,1.922752436828128e-05,0.04125697110357335
91,1.9169057584800415e-05,0.04067133345794029
92,1.911137424007454e-05,0.04010023572879375
93,1.9054455311930998e-05,0.03954316508860958
94,1.899828244193389e-05,0.03899963204197139
95,1.8942837905313526e-05,0.03846916913037445
96,1.888810458256183e-05,0.03795132972165346
97,1.883406593259276e-05,0.03744568687765549
98,1.8780705967360823e-05,0.03695183229437416
99,1.872800922784229e-05,0.03646937530921387
100,1.86759607612996e-05,0.0359979419705221
101,1.8624546099738723e-05,0.03553717416489379
102,1.85737512394968e-05,0.03508672879812263
103,1.8523562621879016e-05,0.034646277026051026
104,1.847396711478682e-05,0.03421550353177767
105,1.8424951995277106e-05,0.03379410584606674
106,1.8376504932996983e-05,0.033381793707949976
107,1.8328613974439623e-05,0.03297828846281857
108,1.8281267527974356e-05,0.032583322495483805
109,1.8234454349608645e-05,0.03219663869584773
110,1.8188163529434354e-05,0.031817989955054554
111,1.8142384478725787e-05,0.03144713869012017
112,1.8097106917645306e-05,0.031083856395178234
113,1.8052320863530586e-05,0.030727923217645566
114,1.8008016619722482e-05,0.030379127557713777
115,1.79641847649118e-05,0.030037265689686565
116,1.792081614297423e-05,0.029702141403797844
117,1.787790185325844e-05,0.029373565667234404
118,1.7835433241321332e-05,0.029051356303194588
119,1.7793401890067006e-05,0.02873533768685411
120,1.7751799611282464e-05,0.0284253404572284
121,1.771061843754044e-05,0.02812120124399637
122,1.766985061445691e-05,0.02782276240834645
123,1.7629488593280902e-05,0.027529871797072468
124,1.7589525023798624e-05,0.027242382509081925
125,1.7549952747542048e-05,0.026960152673659102
126,1.751076479127964e-05,0.02668304523974185
127,1.7471954360781746e-05,0.02641092777562893
128,1.7433514834837895e-05,0.02614367227850417
129,1.73954397595277e-05,0.025881154993219677
130,1.7357722842718322e-05,0.025623256239835513
131,1.7320357948786283e-05,0.025369860249418417
132,1.728333909355157e-05,0.02512085500764255
133,1.72466604394133e-05,0.024876132105782104
134,1.721031629067456e-05,0.024635586598670278
135,1.7174301089055034e-05,0.024399116869271778
136,1.713860940937389e-05,0.02416662449949871
137,1.710323595540001e-05,0.02393801414694965
138,1.706817555586531e-05,0.023713193427247294
139,1.7033423160622358e-05,0.0234920728017063
140,1.6998973836953818e-05,0.023274565470009785
141,1.696482276601569e-05,0.02306058726769894
142,1.693096523941563e-05,0.022850056568154965
143,1.68973966559152e-05,0.022642894188920525
144,1.6864112518257156e-05,0.02243902330207615
145,1.683110843010257e-05,0.022238369348516734
146,1.6798380093083666e-05,0.022040859955897985
147,1.6765923303958493e-05,0.02184642486009951
148,1.673373395187308e-05,0.021654995830015573
149,1.6701808015711955e-05,0.021466506595506606
150,1.6670141561551013e-05,0.021280892778378555
151,1.6638730740191768e-05,0.02109809182622053
152,1.6607571784786126e-05,0.020918042948986436
153,1.6576661008541534e-05,0.02074068705816616
154,1.6545994802504477e-05,0.020565966708451677
155,1.651556963341873e-05,0.02039382604174704
156,1.6485382041657884e-05,0.020224210733452715
157,1.6455428639227083e-05,0.020057067940880677
158,1.6425706107829978e-05,0.019892346253728002
159,1.6396211196998858e-05,0.01972999564650708
160,1.6366940722291408e-05,0.019569967432833547
161,1.633789156354175e-05,0.01941221422151082
162,1.6309060663169132e-05,0.019256689874303706
163,1.6280445024543285e-05,0.01910334946534482
164,1.6252041710401446e-05,0.018952149242098697
165,1.622384784131398e-05,0.018803046587800944
166,1.619586059420213e-05,0.01865599998533003
167,1.6168077200900256e-05,0.01851096898242654
168,1.6140494946763687e-05,0.018367914158222736
169,1.611311116931995e-05,0.01822679709100357
170,1.6085923256962472e-05,0.018087580327177343
171,1.6058928647683367e-05,0.017950227351363434
172,1.603212482784528e-05,0.01781470255758635
173,1.600550933099223e-05,0.01768097122151134
174,1.597907973669549e-05,0.01754899947368969
175,1.5952833669431407e-05,0.01741875427374429
176,1.592676879749811e-05,0.017290203385498765
177,1.590088283196003e-05,0.017163315352974686
178,1.5875173525626796e-05,0.017038059477244214
179,1.5849638672058907e-05,0.016914405794084812
180,1.582427610460484e-05,0.016792325052424967
181,1.5799083695467754e-05,0.01667178869353238
182,1.577405935479306e-05,0.01655276883091592
183,1.5749201029790255e-05,0.016435238230923795
184,1.5724506703872637e-05,0.016319170294005734
185,1.569997439582735e-05,0.016204539036603353
186,1.5675602159003583e-05,0.01609131907365545
187,1.5651388080528813e-05,0.015979485601692784
188,1.5627330280543506e-05,0.015869014382499044
189,1.5603426911457865e-05,0.015759881727309407
190,1.5579676157229376e-05,0.015652064481532748
191,1.5556076232661336e-05,0.015545540009982057
192,1.5532625382718243e-05,0.015440286182579893
193,1.550932188186204e-05,0.015336281360533508
194,1.548616403340536e-05,0.01523350438295684
195,1.5463150168882287e-05,0.015131934553927114
196,1.544027864743664e-05,0.01503155162994509
197,1.5417547855224208e-05,0.014932335807809647
198,1.5394956204835403e-05,0.014834267712864776
199,1.5372502134728953e-05,0.014737328387626394
200,1.5350184108681307e-05,0.014641499280761992
201,1.5328000615252976e-05,0.014546762236411381
202,1.530595016726615e-05,0.014453099483848987
203,1.528403130129522e-05,0.014360493627460173
